improve	を向上させる；よくなる
resort	（好ましくない手段に）訴える
decorate	を装飾する
reform	を改革する
conquer	を征服する；を克服する
persist	固執する；続く
incentive	動機（付け）；報酬金
intuition	直感（力）、直感
impulse	衝動；刺激
fantasy	空想；幻想；幻想的作品
destiny	運命
virtue	美徳；長所；効能
compliment	賛辞；表敬
anniversary	記念日
hive	ミツバチの巣；群集
nursery	託児所；苗床
dormitory	寮
gallery	美術館、画廊；回廊
mill	製造工場；製粉所；粉ひき機
output	生産（高）；出力；排出（量）
joint	関節；接合（部）
phase	段階；面
particle	（微）粒子；ほんのわずか
column	コラム；（新聞などの）欄；円柱
margin	余白；差；利ざや
crack	割れ目；鋭い音
mess	散らかった状態；混乱状態
spectator	（試合などの）観客
prey	獲物；犠牲者
irrigation	灌漑
fluid	流動体；液体
prairie	大草原
estate	（動産・不動産などの）財産；私有地
plot	（小説などの）筋；陰謀
realm	領域；領土
deadline	締め切り
pollen	世論調査；投票（数）
census	国勢調査；交通調査
controversy	論争
combat	戦闘；対立
consensus	総意；（意見の）一致
treaty	（国家間の）条約；協定
remedy	治療（法）；治療薬；解決法
triumph	勝利；勝利の喜び；偉業
competent	有能な；適任の；満足できる
brilliant	すばらしい；才能にあふれた；きらめく
sensible	懸命な；実用的な；顕著な
generous	寛大な；気前のよい；豊富な
brave	勇敢な；見事な
optimistic	楽観的な
passive	受動的な；消極的な
harsh	厳しい；ざらついた
ugly	醜い；険悪な
sensory	感覚の
oral	口頭の
awkward	気まずい；ぎこちない；面倒な
neutral	中立の；じはっきりしない
vague	漠然とした
urgent	緊急の
inevitable	避けられない
concrete	具体的な；有形の
abundant	豊富な
sacred	神聖な；宗教的な
prominent	卓越した；目立つ
dense	密集した、密度の高い；（霧などが）濃い
profound	重大な；深い；難解な
tackle	に取り組む；と話をつける
dedicate	をささげる；を献呈する
dare	あえて[思い切って]〜する
accelerate	（を）加速する、促進する
transimit	を伝える；を送る
strain	に負担をかける；を緊張させる；
tempt	をひきつける；（人）を〜する気にさせる
amuse	をおもしろがらせる；を楽しませる
disgust	をむかつかせる；に愛想を尽かせる
cheat	をだます；不正をする
confine	を限定する；（通例受身形で）閉じ込められる
conceal	を隠す；を秘密にする
forgive	を許す；を免除する
discard	を捨てる；を解雇する
convict	に有罪を宣告する
commute	通勤[通学]する
whisper	（と）ささやく
fade	薄れる；衰える
starve	飢える；（…を）渇望する；を飢えさせる
vanish	消える
drain	（液体）を流出させる；（液体が）流れ出る
dip	を浸す；を突っ込む；下がる
crush	を押しつぶす；を弾圧する
explode	爆発する；急増する；を論破する
terrify	を怖がらせる；を脅かす
exploit	を活用する；を搾取する
elect	を選出する
equip	に備え付ける；を（・・・のために）装備する
fulfill	を実現させる；を果たす；を満たす
log	ログオンする；を記録する
inherit	を受け継ぐ；を引き継ぐ
submit	を提出する；従う；屈服する
renew	を更新する；を再生する
reproduce	を複製する；を再生する；繁殖する
flourish	繁栄する；繁茂する；を振りかざす
thrive	羽根井する；成功する；繁茂する
spill	をこぼす；こぼれる
scatter	をまき散らす；四散する
sprawl	（都市などが）不規則に広がる
prevail	普及している；支配的である；打ち勝つ
intellect	知性；知識人
courtesy	礼儀正しさ；好意；優遇
posture	姿勢；心構え
sociology	社会学
motive	動機（付け）；報酬金
cue	合図；手がかり
uttility	公共事業；実用性
chore	雑用；日課；嫌な仕事
flock	群れ；群衆
pedestrian	歩行者
librarian	司書、図書館員
draft	下書き；為替手形；すき間風
formula	方法；公式；製法
commodity	商品；有用なもの
asset	四散；価値のある者；税金
currency	通貨；普及
tide	潮（の干満）；動向
cereal	穀物；シリアル
fiber	繊維（質）；体質；精神力
intake	摂取量；受け入れ数
scent	香り；香水；気配
flavor	風味；特色
mixture	混合（物）
ratio	比率
counterpart	相当する物［人］
patch	小区画の土地；継ぎ；はり薬
abortion	妊娠中絶
toll	損害（の程度）；死者数；通行料
penalty	（刑）罰；罰金
deforestation	森林伐採
microbe	細菌；微生物
outbreak	発生、勃発
epidemic	流行病；蔓延
syndrome	症候群；…現象
outlet	直売店；はけ口；コンセント
perfume	香水；香料
reception	歓迎会；受付；受領
recipient	受け取る人；（臓器などの）被提供者
keen	熱心な；鋭敏な；激しい
decent	そこそこの；きちんとした；上品な
mild	穏やかな；軽い
humble	謙虚な；質素な；身分が低い
noble	高貴な；堂々とした
selfish	利己的な
cruel	残酷な；厳しい
ridiculous	ばかげた；法外な
deaf	耳が聞こえない
grateful	感謝している
elaborate	入念な；凝った動
rough	粗い；大まかな；乱暴な
bitter	苦い；厳しい；辛辣な；怒りっぽい
radical	急進的な；根本的な
collective	集団の、共同の
exotic	外来の、異国風の
steep	（傾斜が）急な；急激な；法外な
shallow	浅い；浅薄な
parallel	平行の；類似した
probable	十分にありそうな
absolute	絶対的な
aesthetic	美的な；美学の
proceed	進行する；（を）続行する
bloom	花が咲く；栄える
assert	を主張する
bet	と確信する；（を）賭ける
boast	を誇る；（を）自慢する
beg	に（…を）切に頼む；（を）懇願する
copmromise	妥協する；を危うくする
inquire	（を）尋ねる
yell	叫ぶ、怒鳴る
bully	をいじめる；を脅す
descend	（を）降りる；受け継がれる
crawl	はう；ゆっくり進む
lean	かがむ；傾く；をもたせかける
spin	を回転させる；（糸）を紡ぐ；回転する
drown	溺死する；を水浸しにする
split	を分割する；分裂する
revive	を復活させる；復活する
sigh	ため息をるく
refrain	控える
sweep	（を）掃く；を一掃する；通過する
knit	編み物をする；を結合する
cram	を詰め込む；詰め込み勉強をする
digest	を消化する；を理解する；を要約する
suppress	を抑える；を抑圧する
offend	の気分を害する；（に）違反する
compound	補償する；に償う
compound	を悪化させる；を合成する；を混合する
comprise	から成る；を構成する
transplant	を移植する；を移住させる
uncover	を暴く；を発掘する
extract	を取り出す；を抜粋する；を引用する
recruit	を募る；に新人を補充する
entitle	に権利を与える；に題名を付ける
appoint	を任命する；を指定する
install	を設置する；を就任させる
enforce	を施行する；を強制する
implement	を実行する
manipulate	を（巧みに）操る；を改ざんする
refine	を精製する；を洗練する
attain	を獲得する、達成する；に達する
quest	研究
outlook	態度、見解；見通し；眺め
premise	前提；構内
unity	結合；結束；一貫性
fabric	織物；構造
thread	（議論などの）道筋；糸
craftsman	職人；工芸家
sculpture	彫刻(作品）
sphere	球体；領域；天体
curve	（道路などの）カーブ；曲線
profile	人物の紹介；横顔；輪郭
fingerprint	指紋
criterion	(判断・評価の)基準
altitude	高度、標高
tuition	授業料；(個人)指導
stake	杭；掛け金；利害関係
acquaintance	知人；面識；知識
discourse	会話；講演
gratitude	感謝（の気持ち）
woeship	崇拝；賛美
caution	用心；警告
horror	恐怖；強い嫌悪；嫌な物[人]
deacay	腐敗（した状態）；衰退
defect	欠陥；不足
troop	軍隊；集団
grave	墓；死
ranch	牧場；
republic	共和国；共和制
county	郡；州
cottage	小別荘；小さな家
commerce	商業；貿易
recession	不況；後退
despair	絶望
spray	噴霧(駅）；噴霧器
compassion	同情
offspring	子孫、子；成果
cortex	皮質；樹皮
fame	名声
woethwhile	価値がある；立派な
valid	妥当な；有効な
thorough	徹底的な；全くの
tremendous	途方もない、莫大な；すばらしい
empirical	経験多岐な；経験主義の
secondary	二次的な；中級の
subsequent	その後の
innate	生まれながらの；固有の
interior	室内の；内部の
bare	裸の；ありのままの
innocent	無罪の；無邪気な；無知の
delicate	繊細な；扱いにくい；もろい
ambiguous	あいまいな
fragile	壊れやすい；虚弱な
awful	ひどい；嫌な；恐ろしい
inferior	より劣った
ashamed	恥じて
medieval	中世の；時代遅れの
stern	厳しい；いかめしい
tense	張りつめた、緊張した
imperial	帝国の；工程の
magnificent	壮大な；見事な
integrate	を統合する；融合する
incorporate	を取り入れる；を法人にする；合弁する
utilize	を利用する
revise	を修正する；を改正する
prolong	を長引かせる
lessen	を少なくする；減る
stir	をかき回す；を揺り動かす
drag	をひきずる；ぐずぐずする
scrub	（を）磨く
strip	を[から]取り去る；を裸にする
squeeze	を押し込む；を絞る
shed	を捨て去る；(光など)を放つ；(涙・血）を流す
plug	を電源に差し込む；を差し込む
distort	をゆがめる；歪む
disrupt	を混乱させる；を分裂させる
devastate	を荒らす；を困惑させる
worsen	を悪化させる；悪化する
abolish	を廃止する
regain	を通り戻す
exert	を及ぼす；を行使する
precede	に先行する；に優先する
lag	遅れる；徐々に弱まる
converse	会話する
utter	(声)を発する；(考えなど)を述べる
outline	の要点を述べる；の輪郭を描く
conform	順応する；一致する
designate	を指定する；を任命する
assure	に自信を持って言う；を保証する
reassure	を安心させる
console	を慰める
induce	を引き起こす；を説得する
oblige	に義務付ける；に恩恵を施す
compel	に強いる
provoke	を引き起こす；を刺激する
bathe	を風呂に入れる；を浸す
bleed	出血する
cruise	（を）巡航する；巡回する
soar	急上昇する；空高く飛ぶ
symoloze	を象徴する；を記号で表す
comprehend	を理解する
protocol	議定書
domain	分野
index	指標；索引
transaction	（商）取引；（人と人との）交流
fragment	断片
fraction	わずか；一部；分数
bug	虫；病原体；盗聴器；欠陥
germ	細菌；胚
diagnosis	診断；判断
obsession	妄想；強迫観念
nightmare	悪夢；不安感
paradox	逆説；矛盾
irony	皮肉
sorrow	悲しみ
maximum	最大限
excess	過剰、超過
frontier	国境；辺境地；最先端
refuge	非難（所）；保護
timber	木材；樹木
slavery	奴隷制度；苦役
hierarchy	（社会の）階層性；支配層
bureau	（官庁の）局；事務局
supervisor	監督者；指導教員
spouse	配偶者
rebel	反逆者
pastime	気晴らし；娯楽
feast	祝宴；大ごちそう、楽しみ
basin	洗面器；水たまり；宙域
sewage	下水
scenery	（集合的に）景色；拝啓
tomb	墓
landmark	目印；画期的な出来事
monument	記念碑；遺跡；金字塔
flesh	（人・動物の）肉；果肉
garment	衣服
glimpse	ちらりと見えること
glow	輝き；白熱；幸福感
grace	優美；分別；恩寵
sincere	誠実な；心からの
bold	大胆な；厚かましい
tame	飼いならされた
vulnerable	もろい
naked	裸の
immune	免疫を持つ；免れた
chronic	慢性の；長引く
gradual	徐々の
scarce	乏しい；珍しい
toxic	有毒な；中度屈性の
accidental	偶然の
irrelevant	無関係の；見当違いの
trivial	ささいな
indispensable	不可欠な
indigenous	原産の、先住の
prehistoric	有史以前の；旧式な
holy	神聖な；信仰心の厚い
retail	小売りの
metropolitan	大都市の、首都圏の
straightforward	単純な；率直な
vivid	鮮やかな；生き生きとした
outstanding	際立った；未払いの
enrich	を豊かにする
undertake	を引き受ける；を保証する；に着手する
accommodate	を収容する；を適応させる
assemble	を集める；を組み立てる；集まる
embody	を具現する；を統合する
weave	を織る；を作り上げる
retrieve	を回収する；（データ）を余技出す
clap	（手）をたたく；拍手する
scratch	をひっかく；を中止する
erase	を消す
sew	を縫う；縫物をする
cling	しがみつく；くっつく
resign	（を）辞任する；を放棄する
startle	をびっくりさせる
evoke	を呼び起こす
clarify	を明確にする
confess	（を）告白する
pray	（を）祈る
tokerate	を許容する、我慢する
envy	をうらやむ
revenge	復習する
depart	出発する；それる
overtake	を追い抜く：に追いつく；を襲う
invade	を侵略する：を侵害する；に殺到する
penetrate	の内部に入る；（を）貫く；（に）進出する
enclose	を同封する；を取り囲む
leak	漏れる；を漏らす
flush	を紅潮させる；を水で流す；紅潮する
sparkle	輝く；際立つ
erupt	（火山が）噴火する；勃発する
dye	を染める；染まる
halt	を止める；止まる
suspend	を停職［停学］処分にする；を中断する
surpass	を上回る
steer	（を）操縦する；を向ける
navigate	航行する；道路を示す
contradict	と矛盾する；に反対意見を言う
contend	と主張する；競う
dissolve	を溶かす；を分解する；溶ける
strive	努力する；争う
legacy	遺産
rumor	うわさ
verse	韻文：詩
manusctipt	原稿；写本
script	台本；筆跡
prose	散文；退屈な話
headline	（新聞などの）見出し
diameter	直径
vacuum	真空；空虚
flame	炎；情熱
moisture	水分；湿気
erosion	浸食；衰退
perninsula	半島
suicide	自殺；自殺行為
sincere	（宗教・道徳上の）罪；愚かなこと
taboo	禁忌、タブー
rage	激怒；猛威
greed	強欲
boredom	退屈
misery	悲惨；苦難
plague	疫病；（害虫などの）異常発生
orphan	孤児
liver	肝臓
trail	跡；手がかり：小道
aisle	（座席間などの）通路
laundry	洗濯（物）；クリーニング店
merchndise	商品
bargain	買い得品；取引；契約
revenue	歳入；収益
deficit	赤字、不足；欠陥
amateur	素人、アマチュア
undergraduate	学部学生
amvassador	大使；使節
warrior	戦士
warfare	戦争（行為）；闘争
botany	植物学
anthropology	人類学
ideology	イデオロギー、思想傾向
voluntary	自発的な；無償の
spontaneous	自然発生的な；無意識的な
deliberate	故意の；慎重な
conspicuous	目立つ
transparent	透明な；明快な
superficial	表面的な
hollow	空洞の；空虚な
peculiar	特有の；特異な
partial	部分的な；不公平な；特に好きな
neat	きちんとした；見事な
dim	薄暗い；ぼにゃりした
alternate	代わりの；口語の
commomplace	（日常的に）当たり前の
jealous	嫉妬深い；用心深い
hostile	敵意のある；敵の
ripe	熟した；成熟した
pregnant	妊娠した；満ちている
fertile	肥沃な
fierce	猛烈な；どう猛な
drastic	徹底的な
immense	膨大な
supreme	最高の
excel	秀でている、に勝る
swell	膨張する、腫れる；を膨らませる
bounce	跳ねる；反射する；を弾ませる
roam	歩き回る
stray	はぐれる；迷う
emigrate	（他国へ）移住する
mutter	（を）つぶやく；ぶつぶつ（不平を）言う
murmur	ささやく；ざわめく
chuckle	くすくす笑う
choke	をむせさせる；を詰まらせる；むせる
frown	眉をひそめる
roar	うなる、ほえる
shiver	震える
tremble	震える；揺れ動く
shave	（顔・ひげなど）をそる；を削減する
misunderstand	（を）誤解する
soothe	をなだめる；を和らげる
lure	を誘惑する
mock	をばかにする
tease	（を）からかう；をいじめる
despise	を軽蔑する
disregard	を無視する；を軽視する
betray	をうっかり表す；を裏切る
aspire	熱望する
seize	をつかむ；を奪い取る；を没収する
fetch	を持ってくる、連れて来る
rub	（を）こする；を塗る
flap	ぱたぱたと動く；羽ばたく
plunge	（を）突っ込む；没頭する；陥る
insert	を挿入する
dispose	を処分する
withstand	に耐える
hinder	を妨げる
resume	（を）再開する；を取り戻す
unify	を統合する
staple	必需食品；主要産物
soybean	大豆
bud	芽；つぼみ
vegetation	植物；植生
limb	手足
weinkle	しわ；折り目
sentiment	感情；鑑賞
grief	深い悲しみ
curse	呪い；悪態
torture	拷問；苦痛
mercy	慈悲；幸運
cowaed	臆病者
predecessoe	前任者；前のもの
psychaiatrist	精神科医
thesis	論文；命題、テーゼ
mutation	突然変異
diabetes	糖尿病
bullet	銃弾
cluster	集団；（植物の）房、束
shield	盾、防御物
gear	器具；歯車；ギア
vessel	船舶；容器；脈管
tactixs	戦術；策略
breakdown	崩壊；（神経）衰弱；故障
reunion	再会（の集い）；再結合
knot	結び目
probe	宇宙探査用ロケット；精査
radiation	放射能、放射線
tablet	錠剤；平板
vapor	蒸気；期待
tehermometer	温度計、体温計
signature	署名；特徴
triangle	三角形
geometry	幾何学
feat	偉業；妙技
applause	拍手（喝采）
glory	栄光；壮観
diligent	勤勉な；入念な
earnest	まじめな、熱心な
loyal	忠実な
stubborn	頑固な；不屈の
rigid	厳しい；硬直した
stif	硬直した；堅い
timid	臆病な
idle	（何もせずに）ぶらぶらしている
dumb	ばかげた；口のきけない；無言の
obese	肥満した
disabled	障害のある；障害者用の
clumsy	不器用な；扱いにくい
punctual	時間を守る
absurd	ばかげた；不合理な
uneasy	不安な；落ち着かない；ぎこちない
nasty	不快な；意地悪な
naughty	いたずらな
tidy	きちんとした；相当の
decisive	決定的な；断固とした
upright	まっすぐな；正直な
vertical	垂直の；縦方向の
gloomy	陰気な；薄暗い；悲観的な
obscure	人目につかない；不明瞭な
antique	骨董の；古風な
sole	唯一の；単独の；独占的な
sheer	純然たる、真の；すごい
marvelous	すばらしい；驚くべき
splendid	すばらしい；立派な
cherish	を心に抱く；を大切にする
nourish	に栄養を与える；をはぐくむ
hatch	を孵化させる；孵化する；をたくらむ
enlarge	を拡大する
furnish	に備え付ける
indulge	ふける；を甘やかす
surrender	屈する；を放棄する；を明け渡す
kneel	ひざまずく
stumble	つまづく
wither	しおれる；衰える；を弱らせる
creep	忍び込む；のろのろ進む；はう
ache	痛む；切望する
await	を持つ
foresee	を予知する
illuminate	を照らす；を解明する
dread	をひどく恐れる
depict	を描く
signify	を意味する；重要である
swear	（を）誓う；ののしる
dicate	を指図する；を書き取らせる；を決定づける
recite	を暗唱する；を詳述する
enroll	登録する、入会する；を登録させる
execute	を実行する；を処刑する
fake	を偽造する；のふりをする
disguise	を変装させる；を偽る
stain	を汚す；に着色する
bind	を縛る
slap	を（平手で）たたく
omit	を省く；を怠る
grind	（穀物など）をひく
undermine	を徐々にむしばむ
bankrupt	を破産させる
extinguish	（火・光など）を消す；を全滅させる
mend	を修繕する；を改善する
congratulate	（人）を祝う
certificate	証明書；免許状
encyckioedia	百科事典
biography	伝記
masterpiece	傑作
rhyme	詩歌；韻
means	手段；資力
mold	鋳型；性質
scope	範囲；余地
bulk	大半；かさ；大量
trifle	些細なこと；少量
pill	錠剤
dose	（薬の）服用量；放射線量
vein	血管；静脈；特質
odor	におい；気配
pilgrim	巡礼者
deed	行い
carriage	車両；立ち居振る舞い；輸送；馬車
mischief	いたずらな
slaughter	虐殺；畜殺
haste	急ぐこと
thirst	（のどの）渇き；渇望
monarchy	君主制；君主国
reign	治世；統治
heir	相続人；後継者
pardon	許し
legislation	法律；立法
cabinet	内閣；戸棚
waed	病棟；行政区
surplus	余剰；黒字
arithmetic	計算；算数
mercury	水銀；水星
monopoly	独占（権）
friction	不和；摩擦
collision	衝突
fusion	融合；連立
breakthrough	大発見、飛躍的進歩
spectacle	壮観；見世物；眼鏡
eminent	高名な；傑出した
notable	注目に値する；著名な
notorious	悪名高い
compulsory	義務的な
liable	〜しがちな；受けやすい；責任がある
inclined	〜する傾向がある；傾いた
static	静的な；停滞した
infinite	無限の；無数の
eternal	永遠の；不変の
acute	激しい；鋭い；急性の
abrupt	突然の
swift	素早い
faint	かすかな
tender	優しい；やわらかい；微妙な
humid	湿気のある
damp	湿った
rotten	腐った；不快な；堕落した
sour	酸っぱい；不機嫌な；不愉快な
sore	痛い；腹が立って
savage	どう猛な；容赦のない
crude	天然の、未精製の；粗野な
approximate	おおよその
intermediate	中級の；中間の
vocational	職業の
masculine	男らしい
feminine	女らしい
superfluous	余分な；不必要な
utmost	最大限の
contemplate	（を）熟考する；を予想する
ponder	（を）熟考する
meditate	瞑想する；をもくろむ
conceive	（を）思いつく
speculate	（を）推測する；投機する
presume	と推定する；を前提とする
proclaim	を宣言する；を証明する
disclose	を公表する
pledge	を誓う；を担保する
exclaim	（と）叫ぶ
subscribe	予約購読する
mourn	（を）悼む；（を）嘆く
resent	に憤慨する
lament	（を）嘆き悲しむ；を公開する
pan	あえぐ；渇望する
suck	吸う
soak	を浸す；浸る
render	を（ある状態に）する；を与える
rotate	回転する；循環する；を回転させる
pierce	を貫く、（穴）をあける；を洞察する
carve	を彫る；を切り開く
divert	（注意など）をそらす；を迂回させる
expel	を追放する；を吐き出す
assault	を暴行する；を攻撃する
intrude	侵害［侵入］する
addict	凝る、中毒になる
coincide	同時に起こる；一致する
ascend	（を）上がる
surge	殺到する；急騰する
evaporate	蒸発する；消散する；を蒸発させる
expire	期限が切れる
ferment	を発酵させる；発酵する
merge	合併する；融合する；を融合させる
erect	を建てる；を直立させる
bless	に恩恵を与える；に感謝する
prestige	名声；名声のある
aristocracy	貴族（社会）；支配階級
statesman	政治家
senatoe	上院議員
creed	（宗教上の）信条
vigor	活力；迫力
dismay	落胆；狼狽
melancholy	憂うつ
agony	苦痛
anguish	苦悩
conscience	良心
contempt	軽蔑；恥辱
scorn	軽蔑；軽蔑の対象
apathy	無感動
textile	織物；繊維（産業）
symmetry	（左右）対称；調和
verge	瀬戸際；端
cavity	虫歯（の穴）；空洞
bribe	賄賂
riot	暴動
exile	亡命（者）；（国外）追放
archaelogy	考古学
specimen	標本；実例
ornament	装飾（品）
apparatus	器具一式；機構
flaw	欠点；傷
eclipse	日食、月食；失墜
astronomy	天文学
aviation	航空（学）
velocity	速度
congestion	混雑
questionnaire	アンケート
parasite	寄生虫
personnel	職員、人員
advent	出現、到来
token	しるし；代用効果；商品券
premium	保険料；プレミア
discreet	思慮分別のある
wary	用心深い
grim	（状況などが）暗い；（表情が）険しい
solemn	厳粛な；真剣な
skeptical	懐疑的な
dubious	疑わしい；疑って
vain	無駄な；うぬぼれた
reckless	無謀な；顧みない
ruthless	無慈悲な；断固とした；無茶な
eloquent	雄弁な；説得力のある
furious	激怒した；猛烈な
weary	疲れ果てた；うんｚりした
pessimistic	悲観的な
cynical	冷笑的な
wicked	邪悪な；いたずらな
singular	驚くべき；奇妙な；単数の
weird	異様な
literal	文字通りの；散文的な
ecxplicit	明白な；率直な
implicit	暗黙の；内在する
slender	ほっそりした；わずかな
gross	総計の；はなはだしい；粗野な
ultraviolet	紫外線の
spatial	空間の
vacant	空いている
spacious	広々とした；雄大な
ample	十分すぎるほどの；広い
affluent	裕福な；豊富な
infer	を推論する
discern	を理解する；を識別する
allege	を主張する
ascribe	の原因を帰する；を作と認める
prescribe	を処方する；を規定する
comply	従う；応じる
abide	に従う；を我慢する；住む
plead	嘆願する；弁護する；申し立てる
preach	説教する
intrigue	に興味を持たせる；陰謀を企てる
reconcile	を一致させる；を和解させる
intervene	介入する；介在する
restrain	を制止する；を規制する
humiliate	の自尊心を傷つける
reproach	を制止する；を規制する
condemn	を非難する；有罪を宣告される
defy	に反抗する；を拒む
revolt	反逆する；むかつく
impair	を損なう
inflict	（害）を負わせる
degrade	の価値を下げる；降格する
deteriorate	悪化する；を悪化させる
corrupt	を墜落させる；を買収する；墜落する
contaminate	を汚染する；を墜落させる
oppress	を抑圧留守；を悩ませる
thrust	を押し付ける；押す
embark	乗り出す；乗船[搭乗]する
inspect	を点検する；を視察する
summon	を呼びつける
tetify	証言する
persecute	を迫害する；を苦しめる
coerce	に強要する
unleash	を爆発させる
emancipate	を解放する
endow	に授ける；に寄贈する
scrutiny	精査；監視
analogy	類推；類似
preoccupation	没頭；先入観
retrospect	回想
conceit	うぬぼれ
fallacy	誤った考え；虚構
hypocrisy	偽善
nuisance	厄介（なこと[人])
delinquency	(青少年の)非行、犯罪
hostage	人質
lawsuit	(民事)訴訟
attorney	弁護士；代理人
wararnt	令状；十分な根拠；証明書
testimony	証言；証拠
verdict	(陪審の)評決；評価
sanction	制裁；認可
superstition	迷信
folklore	民話；民俗学
anecdote	逸話
rhetoric	修辞(法)；美辞麗句
stall	露天；失速
segment	部分
synthesis	合成；総合
cohesion	結束；結合
heredity	遺伝；世襲
catastrophe	大災害；破局
plight	窮状
solitude	ひとりでいること；孤独
ordeal	厳しい試練
tyranny	暴政；専制国家
censorship	検閲
hygiene	衛生(状態)；健康法
doctrine	主義；教義
diplomacy	外交(的手段)
entity	実態
sovereign	君主制；君主国
authentic	本物の；信頼できる
legitimate	合法的な；妥当な
intelligible	理解できる
inherent	生来の
ingenious	独創的な；利発な
intricate	複雑な
homogeneous	均質の
monotonous	単調な
incessant	絶え間のない
perpetual	ひっきりなしの；永続的な
imminent	差し迫った
plausible	もっともらしい
arbitrary	恣意的な
prelimminary	予備の、準備の
deficient	欠けている
subordinate	下位の；副次的な
feudal	封建時代[制度]の；封建的な
obsolete	廃れた
mortal	致命的な；死すべき
monetary	金銭的な；金融の
extravagant	浪費する；法外な
dizzy	めまいがする；当惑した
juvenile	青少年の
anonymous	匿名の
compatible	互換性のある；矛盾しない；気があう
ubiquitous	到る所にある
divine	神の；神にささげる
sober	しらふの；節度のある
zealous	熱心な
